id,segment,subsegment,population_count,unit,annual_value_usd_m,tier,source_url,source_doc,notes
deepmind-gnome-released,Output,GNoME public release,381000,structures,,disclosed,https://deepmind.google/discover/blog/millions-of-new-materials-discovered-with-deep-learning/,,"DeepMind GNoME paper Nov 2023 released 381K stable predicted structures"
mattersim-coverage,Output,MatterSim materials coverage,10000,materials,,verified,https://arxiv.org/abs/2405.04967,docs/KEY_FINDINGS_SUMMARY.md,"DFT-level accuracy demonstrated across >10K materials"
phonon-bench-calcs,Benchmark,Full phonon benchmark calculation count,276000,calculations,,verified,https://arxiv.org/list/cond-mat.mtrl-sci/recent,docs/KEY_FINDINGS_SUMMARY.md,"23 potentials x 12K materials = 276K phonon calculations"
phonon-bench-gpuhrs,Compute,Full phonon benchmark GPU-hours base,1000000,gpu-hours,,verified,,docs/KEY_FINDINGS_SUMMARY.md,"~10^6 GPU-hours base estimate for full 23 x 12K benchmark"
phonon-bench-gpuhrs-cont,Compute,Full phonon benchmark with contingency,1500000,gpu-hours,,verified,,docs/KEY_FINDINGS_SUMMARY.md,"+50% contingency for failures/restarts = 1.5M GPU-hours"
mlip-finetune-cost,Compute,Phonon Force Constant fine-tuning,1,model,0.4,triangulated,,docs/KEY_FINDINGS_SUMMARY.md,"60-140 GPU-hours per model; at $2-3 per A100-hour cloud rate ~ $200-400 per fine-tune"
mlip-finetune-improvement,Quality,PFT improvement over base MLIP,55,percent,,verified,,docs/KEY_FINDINGS_SUMMARY.md,"55% average improvement in phonon properties from fine-tuning"
ai-structure-stability,Quality,AI-generated structure dynamic stability,25.83,percent,,verified,,docs/KEY_FINDINGS_SUMMARY.md,"Only 25.83% of AI-generated structures pass dynamical stability check; baseline near random"
mlip-classical-error-mev,Quality,Classical potential energy error,60,meV,,verified,,docs/KEY_FINDINGS_SUMMARY.md,"20-100+ meV typical error for classical potentials; 60 meV midpoint"
mlip-universal-error-mev,Quality,Universal MLIP energy error,6,meV,,verified,,docs/KEY_FINDINGS_SUMMARY.md,"2-10 meV typical for universal MLIPs; 6 meV midpoint"
mlip-finetune-error-mev,Quality,Fine-tuned MLIP energy error,1,meV,,verified,,docs/KEY_FINDINGS_SUMMARY.md,"Sub-2 meV with sub-meV achievable for fine-tuned MLIPs"
us-rd-materials-pubs,Output,DMREF publications since 2012,4000,publications,,verified,https://www.nsf.gov/funding/pgm_summ.jsp?pims_id=505073,docs/funding_landscape_report.md,"4000+ publications and 100K+ citations as of 2025 disclosure"
sim-tam-deck,Market,Simulation TAM (deck claim),1,market,12000,directional,,lupine-site/deck.html,"$12B simulation TAM by 2028 - founder estimate referenced on deck; not independently sourced. Replaced in plan by triangulated build."
hpc-services-tam,Market,HPC services and managed compute,1,market,42000,triangulated,https://www.hyperionresearch.com/,,"Hyperion Research HPC market size ~$42B (2024) including services; materials science is a subset"
sci-software-tam,Market,Scientific computing software,1,market,9500,triangulated,https://www.bccresearch.com/,,"BCC Research / IDC scientific computing software ~$9.5B (2024-2025); subset is materials/chemistry"
us-aerospace-rd,Market,US aerospace R&D spend,1,market,28000,disclosed,https://www.aia-aerospace.org/,,"US aerospace and defense R&D spend ~$28B/yr per AIA reporting; materials development is subset"
battery-rd-spend,Market,Global battery R&D spend,1,market,15000,triangulated,https://www.bnef.com/,,"BloombergNEF estimates global battery R&D 2024 ~$15B; materials a meaningful share"
us-semi-rd,Market,US semiconductor R&D spend,1,market,55000,disclosed,https://www.sia-online.org/,,"SIA 2024 R&D estimate ~$55B; materials physics is subset"
chips-act-rd,Policy,CHIPS Act R&D and manufacturing,1,authorization,52700,verified,https://www.commerce.gov/news/press-releases/2022/08/fact-sheet-chips-and-science-act-will-lower-costs-create-jobs,docs/funding_landscape_report.md,"$52.7B total appropriation; $13.2B specifically for R&D/workforce"
ira-clean-energy,Policy,Inflation Reduction Act clean energy,1,authorization,369000,verified,https://www.whitehouse.gov/cleanenergy/inflation-reduction-act-guidebook/,,"$369B authorized for clean energy and climate; battery/materials supply chain heavily incentivized"
