id,sector,subsegment,metric,value_usd_b,year,tier,source_url,notes
solid-state-capture,Travel,Solid-state battery commercialization,First-mover NPV,100,2032,triangulated,https://www.argonne.gov/article/argonne-leads-solid-state-battery-research,"Argonne / DOE estimates: 2-3x energy density commercialization captures 5-10% structural margin advantage on $400B 2030 cell market = $20-40B/yr; cumulative NPV ~$100B"
evtol-tam-2030,Travel,Electric vertical takeoff and landing,Global eVTOL market,40,2030,disclosed,https://www.morganstanley.com/ideas/autonomous-aircraft,"Morgan Stanley 2024 update: global eVTOL ~$40B by 2030 ($1T by 2040 long-range)"
aerospace-rd-us,Travel,US aerospace R&D spend,Annual,28,2024,verified,https://www.aia-aerospace.org/wp-content/uploads/2024/04/AIA-2024-Facts-and-Figures.pdf,"AIA Facts & Figures 2024: US aerospace + defense R&D ~$28B annual"
turbine-alloy-mkt,Travel,Single-crystal turbine alloys,Specialty alloys TAM,15,2024,triangulated,https://www.spglobal.com/marketintelligence/en/news-insights/research,"S&P Global: single-crystal Ni superalloy market ~$15B/yr (commercial + defense)"
pharma-rd-global,Bio,Global pharma R&D,Annual spend,260,2024,disclosed,https://www.efpia.eu/media/iyikrwzu/the-pharmaceutical-industry-in-figures-2024.pdf,"EFPIA + IFPMA 2024: global pharma R&D ~$260B annual"
biopharma-cell-gene-2024,Bio,Cell & gene therapy,Global market,25,2024,disclosed,https://www.frostandsullivan.com/,"Frost & Sullivan 2024: global cell + gene therapy market ~$25B"
biopharma-cell-gene-2030,Bio,Cell & gene therapy,Global market (forecast),80,2030,disclosed,https://www.frostandsullivan.com/,"Frost & Sullivan: cell + gene therapy projected ~$80B by 2030"
synbio-2024,Bio,Synthetic biology,Global market,30,2024,disclosed,https://www.bcg.com/publications/2022/synthetic-biology-is-about-to-disrupt,"BCG / McKinsey 2024 update: synthetic biology applications $30B 2024"
synbio-2030,Bio,Synthetic biology,Global market (forecast),100,2030,disclosed,https://www.bcg.com/publications/2022/synthetic-biology-is-about-to-disrupt,"BCG forecast: synbio applications $100B+ by 2030 across health/ag/industrial"
drug-delivery-mat,Bio,Drug delivery materials,Annual market,5,2024,triangulated,https://www.grandviewresearch.com/,"Grand View Research: drug delivery polymers/materials ~$5B/yr (subset of $200B injectable drug pipeline gating)"
implant-polymers,Bio,Biocompatible implant polymers,Annual market,11,2024,triangulated,https://www.grandviewresearch.com/,"Grand View Research: medical-grade biocompatible polymers ~$11B/yr 2024"
ag-biomaterials,Bio,Agricultural biomaterials,Annual market,7,2024,triangulated,https://www.mckinsey.com/industries/agriculture,"McKinsey AgTech: bio-based ag materials (delivery/coatings/feed) ~$7B 2024"
fda-cell-therapy-failure,Bio,Cell therapy manufacturing,Manufacturing failure rate,30,2024,verified,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products,"FDA + Bain biopharma 2024: ~30% cell-therapy manufacturing batch failure rate; major cost driver in $25B market"
cell-therapy-cogs-saving,Bio,Cell therapy materials value,Manufacturing cost reduction value,3,2030,triangulated,https://www.bain.com/insights/healthcare/,"Bain healthcare: reducing cell-therapy batch failure 30% -> 10% via better scaffold materials = ~$3B annual savings at 2030 market"
